가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
아시안테이블,이석준,1,5,2026-04-11,5.0,True,64,너무 맛있는 혜화 맛집이었습니다!! 푸팟퐁 커리 너무 맛있었어요 소프트크랩 식감 완전 최고 여자친구도 만족했습니다!,브론즈 레벨
아시안테이블,유성우,1,5,2026-04-11,5.0,True,43,혜화맛집 인정입니다. 가격이 저렴해서 별기대 안했는데 먹어본 타이중 젤 맛있음,브론즈 레벨
아시안테이블,주상현,2,5,2026-04-09,5.0,True,149,맛있어요!! 세트 가격으로 저렴하게 여러 음식을 즐길 수 있어서 좋았습니다! 완전 혜화맛집이에요! 타이 음식 먹을 수 있는 혜화 맛집 찾게 되어서 기뻐요! 또 올 것 같아요!!!!! 처음에 너무 맛있어서 책상 치다가 실수로 땡모반을 엎았어요!! 그정도로 맛있어요!!!,브론즈 레벨
아시안테이블,슈야언니,1,5,2026-04-08,5.0,True,95,정말 자주 오는 식당이에요!! 혜화 맛집입니다 ㅎ.ㅎ 팟타이가 진짜진짜 맛있고 가격대비 양도 많아서 늘 사람이 많아요 세트로 텃만꿍이랑 푸팟퐁커리까지 맛보는 거 추천드려용,브론즈 레벨
아시안테이블,북촌냐옹이,8,5,2026-04-05,5.0,True,57,이색적인 맛에 홀려서 먹다 찍었어요. 세트메뉴+쏨담추가해서 세명이서 배부르게 먹었니다. 또 올 게요~~,실버 레벨
아시안테이블,종은,1,5,2026-04-04,5.0,True,23,처음와봤는데 너무너무 맛있어요❤️❤️❤️🥰,브론즈 레벨
아시안테이블,cha,1,5,2026-04-04,5.0,True,20,"진짜 왕 맛있어요,,,, 하 또올게요",브론즈 레벨
아시안테이블,연,8,4.3,2026-04-03,5.0,True,131,일 중에 어디갈까 고민하다가 우연히 들린 곳!! 태국 현지에 온 것 같은 인테리어에 1번 마음에 들었고 메뉴가 다양해서 2번 마음에 들었고 마지막으로 음식이 맛있어서 3번 마음에 들었다!! 다음에 또 올게용~ #혜화맛집 #쌀국수 #커리,골드 레벨
아시안테이블,강훈승,2,5,2026-04-03,5.0,True,72,세트 메뉴로 해서 새우 튀김까지 먹었습니다. 너무 맛있었어용~~ 푸팟폰 커리는 특히 풍부한 맛이 일품입니다. 재방문의사 있습니다!,브론즈 레벨
아시안테이블,쥥이~️❤,359,3.8,2026-04-01,5.0,True,58,텃만꿍이었나? 새우 도넛처럼 생긴 거. 여튼 여기 오면 사이드로 항상 주문하는 거!! 이게 젤 맛있음ㅎㅎ,골드 레벨
아시안테이블,ㅇㅅㅇ,2,5,2026-03-28,5.0,True,99,팟타이가 너무 먹고싶어서 찾다가 왔는데 여기 태국 음식 진짜 맛있어요 혜화맛집으로 추천합니다! 그리고 카오카무 족발 덮밥도 먹기 힘든 메뉴인데 진짜 맛있네요 재방문의사 있습니다!,브론즈 레벨
아시안테이블,이진철,2,5,2026-03-28,5.0,True,69,태국 음식 혜화 맛집이었어요. 팟타이와 카오카무를 주문했는데 두 메뉴 모두 맛있었어요. 나중에 다른메뉴로 재방문 예정이에요.,브론즈 레벨
아시안테이블,최선은,2,5,2026-03-27,5.0,True,66,혜화 맛집 진짜 맛있어요!! 팟타이랑 커리 먹었는데 진짜 맛집!!☺️☺️😻😻 태국 갔었는데 그 맛이랑 진짜 똑같아요😉😉,브론즈 레벨
아시안테이블,박광복,1,5,2026-03-27,5.0,True,31,태국현지의 맛을 느끼고싶다면 추천합니다 😎 아주 맛있어요,브론즈 레벨
아시안테이블,이가혜,1,5,2026-03-26,5.0,True,9,너무 맛있어요~~,브론즈 레벨
아시안테이블,김재진,1,5,2026-03-21,5.0,True,25,너무너무 맛있어용 ㅎㅎ 혜화 맛집입니다!!☺️,브론즈 레벨
아시안테이블,수달덫,65,2.5,2026-03-20,5.0,True,65,진정한 혜화 맛집 개인적으로 생각해도 여기가 혜화에서 제일 태국음식 잘하는거같아요 너무 맛잇습니다 ㅠㅠ 내일 또와야지,실버 레벨
