store_name,total_review_count,high_trust_review_count,all_avg_sentiment_star,high_avg_sentiment_star,score_change,rank_all,rank_high_trust,rank_change,kakao_review_count,naver_review_count,kakao_total_rating_count,kakao_all_avg_rating,kakao_high_rating_count,kakao_high_avg_rating,kakao_rating_change,analysis_scope,high_trust_ratio
이태리국시 성수,200,91,4.13,4.37,0.24,2,3,-1,200.0,,200.0,4.86,91.0,4.82,-0.04,kakao,45.5
보끔당 성수점,26,13,3.92,4.23,0.31,6,4,2,26.0,,26.0,4.23,13.0,4.08,-0.15,kakao,50.0
육산장 홍대본점,200,67,3.94,4.18,0.24,5,5,0,200.0,,200.0,4.74,67.0,4.55,-0.18,kakao,33.5
쭌곱창,168,64,3.96,4.13,0.17,4,6,-2,168.0,,168.0,4.68,64.0,4.38,-0.3,kakao,38.095238095238095
홍대 육지,200,91,3.89,3.99,0.1,7,7,0,200.0,,200.0,4.4,91.0,3.93,-0.47,kakao,45.5
장인닭갈비 홍대점,162,136,3.82,3.91,0.09,8,8,0,162.0,,162.0,4.15,136.0,4.3,0.15,kakao,83.9506172839506
능동미나리 성수지점,158,92,3.62,3.84,0.22,10,9,1,158.0,,158.0,4.15,92.0,4.17,0.02,kakao,58.22784810126582
일등식당,56,35,3.54,3.8,0.26,11,10,1,56.0,,56.0,3.93,35.0,4.03,0.1,kakao,62.5
락희옥 마포본점,39,20,3.65,3.64,-0.01,9,11,-2,39.0,,39.0,3.82,20.0,3.6,-0.22,kakao,51.28205128205128
황금콩밭,60,44,3.48,3.57,0.09,12,12,0,60.0,,60.0,3.78,44.0,3.61,-0.17,kakao,73.33333333333333
원조 조박집 본관,37,22,3.46,3.49,0.03,13,13,0,37.0,,37.0,4.08,22.0,3.91,-0.17,kakao,59.45945945945946
옥동식,130,97,3.39,3.45,0.06,15,14,1,130.0,,130.0,3.5,97.0,3.41,-0.09,kakao,74.61538461538461
훼미리손칼국수보쌈,75,51,3.35,3.43,0.08,16,15,1,75.0,,75.0,3.36,51.0,3.39,0.03,kakao,68.0
각시보쌈,60,41,3.42,3.42,-0.0,14,16,-2,60.0,,60.0,3.73,41.0,3.56,-0.17,kakao,68.33333333333333
을밀대 평양냉면,199,107,3.29,3.39,0.1,17,17,0,199.0,,199.0,4.09,107.0,3.86,-0.23,kakao,53.768844221105525
태양곱창 성수점,78,57,3.24,3.23,-0.0,18,18,0,78.0,,78.0,2.83,57.0,3.11,0.27,kakao,73.07692307692307
금금 성수점,40,21,3.12,3.15,0.03,21,19,2,40.0,,40.0,3.62,21.0,3.24,-0.39,kakao,52.5
성수족발,42,26,3.14,3.09,-0.05,19,20,-1,42.0,,42.0,3.1,26.0,3.0,-0.1,kakao,61.904761904761905
마포양지설렁탕,46,22,3.12,3.09,-0.03,20,21,-1,46.0,,46.0,3.28,22.0,2.64,-0.65,kakao,47.82608695652174
굴다리식당,44,25,2.94,2.94,-0.0,23,22,1,44.0,,44.0,2.86,25.0,2.92,0.06,kakao,56.81818181818182
할머니의 레시피,45,29,3.06,2.93,-0.13,22,23,-1,45.0,,45.0,3.04,29.0,2.55,-0.49,kakao,64.44444444444444
소문난성수감자탕,248,174,2.82,2.73,-0.09,24,24,0,248.0,,248.0,2.49,174.0,2.39,-0.1,kakao,70.16129032258065
